lag,acf,ci95,significant
1,0.1180784197876149,0.32666666666666666,FALSE
2,0.07061471206131967,0.32666666666666666,FALSE
3,-0.25558303627410195,0.32666666666666666,FALSE
4,-0.22821694033897316,0.32666666666666666,FALSE
5,0.21162180531482988,0.32666666666666666,FALSE
6,-0.08858902925654843,0.32666666666666666,FALSE
7,0.06623745375490583,0.32666666666666666,FALSE
8,-0.17106763538721437,0.32666666666666666,FALSE
9,-0.05037448639451425,0.32666666666666666,FALSE
10,0.03922057775922694,0.32666666666666666,FALSE
11,-0.1475811921725555,0.32666666666666666,FALSE
12,-0.15102885116867276,0.32666666666666666,FALSE
13,-0.08462992139223413,0.32666666666666666,FALSE
14,-0.07637727886978604,0.32666666666666666,FALSE
15,0.022401094362834113,0.32666666666666666,FALSE
