probability,observed_residual,normal_expected,difference_observed_minus_expected,severity_ratio,interpretation
0.01,-0.6929429578547059,-0.8221447984334774,0.1292018405787715,0.8428478282354229,similar to lognormal assumption
0.05,-0.3711026888307156,-0.5972516968939859,0.22614900806327032,0.6213505809370475,historical tail less extreme
0.1,-0.28034889332159096,-0.4773620166297183,0.1970131233081273,0.5872878099956849,historical tail less extreme
