lag,pacf,ci95,significant
1,0.11807841978761492,0.32666666666666666,FALSE
2,0.05747352421289126,0.32666666666666666,FALSE
3,-0.2749574501460674,0.32666666666666666,FALSE
4,-0.18655654850577993,0.32666666666666666,FALSE
5,0.33687644567922115,0.32666666666666666,TRUE
6,-0.22225940816622325,0.32666666666666666,FALSE
7,-0.091999396890167,0.32666666666666666,FALSE
8,-0.019857994528701746,0.32666666666666666,FALSE
9,0.035221516889398966,0.32666666666666666,FALSE
10,-0.09141042190099546,0.32666666666666666,FALSE
11,-0.18800101921213103,0.32666666666666666,FALSE
12,-0.23560992071497575,0.32666666666666666,FALSE
13,0.12922578564929446,0.32666666666666666,FALSE
14,-0.20538649563587835,0.32666666666666666,FALSE
15,-0.24371677012013224,0.32666666666666666,FALSE
