statistic,historical,simulated
mean,-1.0011221295316539e-5,-0.05644907889952221
sd,0.2799708215697645,0.32955023435973907
q01,-0.6929429578547059,-0.8207105326571542
q05,-0.3711026888307156,-0.5979384725523557
median,-0.01096481254979853,-0.058165764775327006
q95,0.39056172733541494,0.4863644526991223
q99,0.41232264696915766,0.716781447949751
