year,ssb,rec_obs,rec_pred_om,rec_pred_ss3,rec_resid_om,rec_mult_om,resid_percentile,residual_class,inside_sigmaR_95
2009,13332.0847879,3478680,7813456.567944291,8143644.688070066,-0.8091945367789481,0.4452165273781304,0,lower 10%,FALSE
2002,14804.459046195998,4910000,7911529.375877288,8208358.857163097,-0.47704716842397055,0.620613255253892,0.02857142857142857,lower 10%,TRUE
1992,15098.84261552,5667520,7929099.670499446,8219890.637506057,-0.33578786229963065,0.7147747203993718,0.05714285714285714,lower 10%,TRUE
2007,21686.546865648,6130410,8207554.68863437,8400172.016230574,-0.29179340173497437,0.7469228329954647,0.08571428571428572,lower 10%,TRUE
1995,14314.522433427,11475800,7880872.87295471,8188193.239507461,0.3758018018774063,1.456158497288065,0.9142857142857143,upper 10%,TRUE
2006,18020.919354306,11904600,8075342.026400361,8315149.133299281,0.3881096556240511,1.4741914288064608,0.9428571428571428,upper 10%,TRUE
2005,8737.648452951,10916600,7332867.38347699,7817779.146182221,0.3979179424695065,1.488721864055276,0.9714285714285714,upper 10%,TRUE
2000,14123.826707614,11976400,7868433.694941893,8179994.455801535,0.4200790263151237,1.522081835384705,1,upper 10%,TRUE
