probability,observed_residual,normal_expected,difference_observed_minus_expected
0.01,-0.6929429578547059,-0.8221447984334774,0.1292018405787715
0.05,-0.3711026888307156,-0.5972516968939859,0.22614900806327032
0.1,-0.28034889332159096,-0.4773620166297183,0.1970131233081273
0.5,-0.01096481254979853,-0.054450000000000005,0.043485187450201475
0.9,0.3728864336971487,0.3684620166297183,0.004424417067430408
0.95,0.39056172733541494,0.4883516968939856,-0.09778996955857067
0.99,0.41232264696915766,0.7132447984334774,-0.3009221514643198
